Company Name,Industry,Sector,Country,Report Type,Report Year,Report Link,Source,Download Result
Franklin BSP Realty Trust Inc,Mortgage Finance,Financials,United States,CSR Report,2023,https://s29.q4cdn.com/862505870/files/doc_downloads/2024/11/FBRT-Corporate-Responsibility-Report_10102024.pdf,SASB,"⚠️ HTTPSConnectionPool(host='s29.q4cdn.com', port=443): Max retries exceeded with url: /862505870/files/doc_downloads/2024/11/FBRT-Corporate-Responsibility-Report_10102024.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3599650>: Failed to resolve 's29.q4cdn.com' ([Errno 11001] getaddrinfo failed)""))"
Franklin Electric Co Inc,Industrial Machinery & Goods,Resource Transformation,United States,Sustainability Report,2024,https://fele.widen.net/s/76cbtvb5fc/m1952_sustainability_report_2024,SASB,"⚠️ HTTPSConnectionPool(host='fele.widen.net', port=443): Max retries exceeded with url: /s/76cbtvb5fc/m1952_sustainability_report_2024 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E36A4810>: Failed to resolve 'fele.widen.net' ([Errno 11001] getaddrinfo failed)""))"
Franklin Resources Inc,Asset Management & Custody Activities,Financials,United States,CSR Report,2023,https://franklintempletonprod.widen.net/s/trdkjtbnpc/franklin-templeton-csr-report#page=1,SASB,"⚠️ HTTPSConnectionPool(host='franklintempletonprod.widen.net', port=443): Max retries exceeded with url: /s/trdkjtbnpc/franklin-templeton-csr-report (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E36781D0>: Failed to resolve 'franklintempletonprod.widen.net' ([Errno 11001] getaddrinfo failed)""))"
Franklin Templeton Investments,Asset Management & Custody Activities,Financials,United States,Corporate Social Responsibility Report,2020,https://www.franklinresources.com/about-us/citizenship,SASB,"⚠️ HTTPSConnectionPool(host='www.franklinresources.com', port=443): Max retries exceeded with url: /about-us/citizenship (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3644610>: Failed to resolve 'www.franklinresources.com' ([Errno 11001] getaddrinfo failed)""))"
Fras-Le SA,Auto Parts,Transportation,Brazil,Relatório de Sustentabilidade,2023,https://api.mziq.com/mzfilemanager/v2/d/23341a9d-be9a-4855-a251-1c1004aa997c/d0750636-63c7-047a-413a-4e0776e78886?origin=1,SASB,"⚠️ HTTPSConnectionPool(host='api.mziq.com', port=443): Max retries exceeded with url: /mzfilemanager/v2/d/23341a9d-be9a-4855-a251-1c1004aa997c/d0750636-63c7-047a-413a-4e0776e78886?origin=1 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E36200D0>: Failed to resolve 'api.mziq.com' ([Errno 11001] getaddrinfo failed)""))"
Freedom Holding Corp.,Investment Banking & Brokerage,Financials,Kazakhstan,Sustainability Report,2024,https://ffin.kz/file/2024/10/29/freedom_2024_en_2.pdf,SASB,"⚠️ HTTPSConnectionPool(host='ffin.kz', port=443): Max retries exceeded with url: /file/2024/10/29/freedom_2024_en_2.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3598E90>: Failed to resolve 'ffin.kz' ([Errno 11001] getaddrinfo failed)""))"
Freehold Royalties Ltd,Oil & Gas – Exploration & Production,Extractives & Minerals Processing,Canada,Sustainability Report,2023,https://www.freeholdroyalties.com/sites/default/files/2023-01/Sustainability%20Report.pdf,SASB,"⚠️ HTTPSConnectionPool(host='www.freeholdroyalties.com', port=443): Max retries exceeded with url: /sites/default/files/2023-01/Sustainability%20Report.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3623490>: Failed to resolve 'www.freeholdroyalties.com' ([Errno 11001] getaddrinfo failed)""))"
Freeport-McMoRan Inc.,Metals & Mining,Extractives & Minerals Processing,United States,Sustainability Report,2023,https://www.fcx.com/sites/fcx/files/documents/sustainability/2023-annual-report-on-sustainability.pdf,SASB,"⚠️ HTTPSConnectionPool(host='www.fcx.com', port=443): Max retries exceeded with url: /sites/fcx/files/documents/sustainability/2023-annual-report-on-sustainability.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E367B610>: Failed to resolve 'www.fcx.com' ([Errno 11001] getaddrinfo failed)""))"
Freni Brembo SpA,Auto Parts,Transportation,Italy,Sustainability Report,2023,https://www.brembo.com/it/AssembleaSoci/2024/Brembo%20DNF%202023_ITA%205.pdf,SASB,"⚠️ HTTPSConnectionPool(host='www.brembo.com', port=443): Max retries exceeded with url: /it/AssembleaSoci/2024/Brembo%20DNF%202023_ITA%205.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3644C50>: Failed to resolve 'www.brembo.com' ([Errno 11001] getaddrinfo failed)""))"
Fresenius Medical Care AG & Co KGaA,Health Care Delivery,Health Care,Germany,SASB Index,2021,https://www.freseniusmedicalcare.com/en/sasb,SASB,"⚠️ HTTPSConnectionPool(host='www.freseniusmedicalcare.com', port=443): Max retries exceeded with url: /en/sasb (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E36A4310>: Failed to resolve 'www.freseniusmedicalcare.com' ([Errno 11001] getaddrinfo failed)""))"
