Company name,Sector,Industry,Country,Report type,Report year,Report link,Source
PTC Inc.,Technology & Communications,Software & IT Services,United States,Impact Report,2024,https://ptc-p-001.sitecorecontenthub.cloud/api/public/content/PTC-Impact-Report-2024?v=56645d08,SASB
Public Service Enterprise Group Inc,Infrastructure,Electric Utilities & Power Generators,United States,Sustainability Report,2023,https://poweringprogress.pseg.com/wp-content/uploads/2023/11/2023-Sustainability-Report-Final.pdf,SASB
Public Storage,Infrastructure,Real Estate,United States,Sustainability Report,2024,https://s1.q4cdn.com/588671402/files/doc_downloads/Sustainable-Moving-Supplies/2024/06/28/2024-Public-Storage-Sustainability-Report.pdf,SASB
Publicis Groupe SA,Services,Advertising & Marketing,France,ESG Table,2024,https://publicisgroupe-csr-smart-data.com/assets/upload/en/Publicis_Groupe_ESG_Table.pdf,SASB
Puig Brands SA,Consumer Goods,Household & Personal Products,Spain,Annual Report,2024,https://uploads.puig.com/uploads/2024_Puig_Annual_Report_ENG_aebcd11416.pdf,SASB
Pulmuone Co Ltd,Food & Beverage,Processed Foods,South Korea,Integrated Report,2023,https://news.pulmuone.co.kr/pulmuone/data/2023%20%ED%92%80%EB%AC%B4%EC%9B%90%20%ED%86%B5%ED%95%A9%EB%B3%B4%EA%B3%A0%EC%84%9C.pdf,SASB
PulteGroup Inc,Infrastructure,Home Builders,United States,SASB Index,2021,https://s204.q4cdn.com/680895981/files/doc_downloads/SUSTAINABILITY/2023_Sustainability_Report_SinglePage.pdf,Google search
Pure Cycle Corp,Infrastructure,Water Utilities & Services,United States,ESG Report,2022,https://d1io3yog0oux5.cloudfront.net/purecyclewater/files/ESG/2022_ESG_Report_%282%29.pdf,SASB
Pure Storage Inc,Technology & Communications,Hardware,United States,ESG Report,2024,https://www.purestorage.com/content/dam/pdf/en/misc/esg/2024-esg-pure-report.pdf,SASB
PureTech Health PLC,Health Care,Health Care Delivery,United States,Annual Report,2023,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/p/LSE_PRTC_2022.pdf,Google search
PVH Corp,Consumer Goods,"Apparel, Accessories & Footwear",United States,CSR Report,2023,https://www.pvh.com/-/media/Files/pvh/responsibility/PVH-CR-Report-2023.pdf,SASB
Q2 Holdings Inc,Technology & Communications,Software & IT Services,United States,ESG Report,2023,https://s1.q4cdn.com/185670151/files/doc_downloads/ESG/2023/07/Q2-2023-ESG-Report.pdf,SASB
Qatar Gas Transport Company - Nakilat,Extractives & Minerals Processing,Oil & Gas – Midstream,Qatar,ESG Report,2023,https://www.nakilat.com/wp-content/uploads/2024/10/ESG-REPORT-2023-1-1.pdf,SASB
Qatar Islamic Bank QPSC,Financials,Commercial Banks,Qatar,Sustainability Report,2023,https://www.qib.com.qa/wp-content/uploads/2024/07/QIB-Sustainability-Report-2023-EN.pdf,SASB
Qatar National Bank QPSC,Financials,Commercial Banks,Qatar,Sustainability Report,2022,https://ungc-production.s3.us-west-2.amazonaws.com/attachments/cop_2022/513944/original/Sustainability%20Report%202021%20English%20%281%29.pdf?1655620142,Google search
QIAGEN NV,Health Care,Medical Equipment & Supplies,Netherlands,Annual Report,2023,https://s28.q4cdn.com/125951340/files/doc_financials/2023/ar/2023-IFRS-Annual-Report.pdf,SASB
Qisda Corp,Technology & Communications,Electronic Manufacturing Services & Original Design Manufacturing,Taiwan,ESG Report,2023,https://esg.qisda.com/uploads/files/shares/ESG%20Report/2023/QISDA-ESG2023-0720.pdf,SASB
QIWI plc,Technology & Communications,Software & IT Services,Cyprus,Sustainability Report,2022,https://investor.qiwi.com/upload/iblock/da3/sh6vnlljkt93e1kre0go3i8q763qb981/QIWI%20ESG%20Report%202022%20EN.pdf,SASB
QNB,Financials,Commercial Banks,Turkey,Integrated Annual Report,2024,https://ungc-production.s3.us-west-2.amazonaws.com/attachments/cop_2022/513944/original/Sustainability%20Report%202021%20English%20%281%29.pdf?1655620142,Google search
Qorvo Inc,Technology & Communications,Semiconductors,United States,Sustainability Report,2024,https://www.qorvo.com/-/media/files/qorvopublic/corporate/qorvo-corporate-social-responsibility-report-fy-2024.pdf?la=en,SASB
QT Group Oyj,Technology & Communications,Software & IT Services,Finland,ESG Report,2023,https://www.qt.io/hubfs/_website/QtV2/QtV2%20Investors/2023/Qt-ESGreport-2023_FINAL.pdf?hsLang=en,SASB
QTS Realty Trust Inc,Infrastructure,Real Estate,United States,ESG Report,2021,https://www.qtsdatacenters.com/-/media/files/sustainability-reports/2021-esg-report.ashx,SASB
Quaker Chemical Corp,Resource Transformation,Chemicals,United States,Sustainability Report,2022,https://home.quakerhoughton.com/2022-sustainability-report/,SASB
QUALCOMM Inc,Technology & Communications,Semiconductors,United States,ESG Report,2023,https://www.qualcomm.com/content/dam/qcomm-martech/dm-assets/documents/2023-qualcomm-corporate-responsibility-report.pdf,SASB
Qualitas Controladora SAB de CV,Financials,Insurance,Mexico,Integrated Report,2023,https://qinversionistas.qualitas.com.mx/uploads/informes/2023/anual/en/IA_Qualitas2023_ENG.pdf,SASB
Quality Technology Services,Infrastructure,Real Estate,United States,Sustainability Report,2023,https://qtsdatacenters.com/wp-content/uploads/2024/10/QTS-Sustainability-Report_2023_FINAL.pdf,SASB
Quanex Building Products Corp,Consumer Goods,Building Products & Furnishings,United States,CSR Report,2022,https://www.flipsnack.com/ABCA8E66AED/quanex-corporate-responsibility-report/full-view.html,SASB
Quanta Services Inc,Infrastructure,Engineering & Construction Services,United States,Sustainability Report,2023,https://sustainability.quantaservices.com/wp-content/uploads/2024/09/2023-Quanta-Sustainability-Report.pdf,Google search
Quess Corp Ltd,Services,Professional & Commercial Services,India,ESG Report,2022-2023,https://www.quesscorp.com/wp-content/uploads/2023/10/Sustainability-ESG-Report-2022-23.pdf,SASB
Quest Diagnostics Inc,Health Care,Health Care Delivery,United States,CSR Report,2023,https://www.questdiagnostics.com/content/dam/corporate/unrestricted/images/our-company/responsibility-report-thumbnails/Quest-Diagnostics-Corporate-Responsibility-Report-2023.pdf,SASB
QuidelOrtho Corp,Health Care,Medical Equipment & Supplies,United States,Sustainability Report,2023,https://www.quidelortho.com/content/dam/quidelortho/global/docs/QO_2023_Sustainability_Report.pdf,SASB
Quiñenco SA,Financials,Asset Management & Custody Activities,Chile,Memoria Anual Integrada,2023,https://www.quinenco.cl/content/uploads/2024/04/Memoria-Anual-Integrada-Quinenco-2023.pdf,SASB
Qurate Retail Inc,Consumer Goods,E-commerce,United States,CSR Report,2022,https://www.qurateretailgroup.com/wp-content/uploads/qvc-newco/2023/09/qrg-2022-Corporate-Responsibility-Report.pdf,SASB
R1 RCM Inc,Services,Professional & Commercial Services,United States,ESG Report,2022,https://storage.pardot.com/1009102/1677621633CCjraklk/ESG_Report_2022_R1.pdf,SASB
Rackspace Technology Inc,Technology & Communications,Software & IT Services,United States,ESG Report,2023,https://www.rackspace.com/resources/2023-esg-report,SASB
Radian Group Inc,Financials,Insurance,United States,CSR Report,2023,https://www.radian.com/-/media/Files/Enterprise/Corporate-Responsibility/2023_Corporate_Responsibility_Report_Final.pdf?rev=3586576d7d1d4c33a9d684a4d8c7b400,SASB
Radiant Opto-Electronics Corp,Technology & Communications,Hardware,Taiwan,Sustainability Report,2021,http://esg.radiant.com.tw/downloadData?file=2021%20%E7%91%9E%E5%84%80%E5%85%89%E9%9B%BB%E6%B0%B8%E7%BA%8C%E5%A0%B1%E5%91%8A%E6%9B%B8(EN).pdf,SASB
Raia Drogasil SA,Health Care,Drug Retailers,Brazil,Sustainability Report,2023,https://cdn.rd.com.br/prod-v2/2024/05/53066e45-240520_rs_raiadrogasil_pt_auditoria.pdf,SASB
Raizen SA,Renewable Resources & Alternative Energy,Biofuels,Brazil,Integrated Report,2022-2023,https://raizen-institucional-relatorios.s3.amazonaws.com/raizen/2023/pdf/RAIZEN_EN_FINAL.pdf,SASB
Ralph Lauren Corp,Consumer Goods,"Apparel, Accessories & Footwear",United States,Sustainability Report,2024,https://corporate.ralphlauren.com/on/demandware.static/-/Sites-RalphLauren_Corporate-Library/default/dw95dc0796/documents/2024_reports_and_policies/RL-2024-GCSReport.pdf,SASB
Ramelius Resources Ltd,Extractives & Minerals Processing,Metals & Mining,Australia,Sustainability Report,2024,https://www.rameliusresources.com.au/wp-content/uploads/bsk-pdf-manager/2024/11/Ramelius-ESG-Report-2024-singles.pdf,SASB
Randon SA Implementos e Participacoes,Resource Transformation,Industrial Machinery & Goods,Brazil,Relatório de Sustentabilidade,2023,https://www.randoncorp.com/media/2756/relatorio_sustentabilidade_randoncorp_2023.pdf,SASB
Range Resources Corp,Extractives & Minerals Processing,Oil & Gas – Exploration & Production,United States,CSR Report,2023-2024,https://www.rangeresources.com/wp-content/uploads/2024/07/Range-Resources_CSR-Report-2024_FINAL.pdf,SASB
